ID,Name,Manufacturer,Price,ExpiryDate,Quantity
MED001,Paracetamol,ABC Pharma,20.0,2025-12-31,30
MED002,Amoxicillin,XYZ Labs,3.5,2026-11-30,50
MED003,Cetirizine,GoodHealth,0.75,2025-06-15,200
MED004,Ibuprofen,HealthCorp,2.0,2026-09-10,80
MED005,Azithromycin,HealWell,4.25,2026-01-20,30
MED006,Metformin,DiabetiCare,1.0,2027-04-01,139
MED007,Loratadine,QuickMeds,0.9,2025-08-25,120
MED008,Omeprazole,StomachSafe,1.1,2026-03-30,60
MED009,Aspirin,PureMeds,0.6,2026-10-10,70
MED010,Chlorpheniramine,ReliefNow,20.0,2025-05-15,50
MED011,Ranitidine,StomachSafe,1.3,2026-07-12,45
MED012,Atorvastatin,HeartCare,5.5,2027-01-01,30
MED013,Lisinopril,CardioLife,2.75,2025-12-15,80
MED014,Metoprolol,CardioWell,3.1,2026-05-10,95
MED015,Simvastatin,LifeMed,4.0,2027-08-22,120
MED016,Losartan,BloodFlow,2.4,2025-10-17,70
MED017,Levothyroxine,ThyroCare,1.2,2026-06-14,100
MED018,Hydrochlorothiazide,WellnessPharma,1.8,2026-03-19,130
MED019,Clopidogrel,PlateletPharma,2.9,2025-09-27,75
MED020,Amlodipine,VascularMed,2.2,2026-12-05,78
MED021,Salbutamol,BreathEZ,1.5,2027-04-16,50
MED022,Budesonide,RespiraCare,2.0,2026-08-30,65
MED023,Montelukast,AllergyFree,3.3,2025-11-01,40
MED024,Fluticasone,NasalClear,5.0,2027-02-12,35
MED025,Prednisolone,ReliefPharma,2.6,2025-07-07,60
MED026,Dexamethasone,MedLine,3.7,2026-09-09,90
MED027,Insulin,DiabetX,10.5,2026-01-25,20
MED028,Glimepiride,SugarDown,2.0,2027-03-18,55
MED029,Pioglitazone,EndoMeds,3.0,2025-12-09,80
MED030,Sertraline,MentalEase,6.0,2026-07-29,45
MED031,Fluoxetine,MindMeds,4.5,2026-04-13,70
MED032,Amitriptyline,NerviCalm,2.7,2027-09-01,40
MED033,Diazepam,TranquilPharma,3.2,2025-10-23,65
MED034,Alprazolam,CalmMeds,2.6,2026-11-14,75
MED035,Quetiapine,NeuroCare,7.1,2026-05-30,30
MED036,Risperidone,NeuroSafe,6.5,2027-06-05,25
MED037,Olanzapine,PsyCare,5.9,2025-08-02,55
MED038,Lamotrigine,SeizureShield,8.0,2026-10-11,20
MED039,Valproate,NeuroStrong,9.2,2027-12-24,35
MED040,Topiramate,NeuroWell,7.4,2025-06-20,42
MED041,Penicillin,VaxPharma,2.8,2026-02-28,60
MED042,Erythromycin,AntiBactCo,3.6,2025-11-15,70
MED043,Doxycycline,BioSafe,4.2,2026-03-11,48
MED044,Cephalexin,CureFast,3.9,2027-07-13,72
MED045,Levofloxacin,BactroClear,5.6,2026-09-25,85
MED046,Clindamycin,InfectoMed,4.1,2025-05-22,48
MED047,Nitrofurantoin,UroMed,3.3,2026-12-08,70
MED048,Trimethoprim,SulfaMeds,2.5,2027-01-09,80
MED049,Norfloxacin,UroSafe,3.0,2025-07-29,5
MED050,Ciprofloxacin,BactroMax,10.0,2026-06-18,45
